sub_chp_num,sub_chp_name,section,ttl_chp_sec,ttl_chp_sec_desc
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4360,Inspections and deficiency citation report.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4380,Plan of correction.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4400,Acceptable and unacceptable plans of correction.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4420,Informal department review.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4425,Notice—Service complete.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4430,Notice—Proof of service.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4440,Appeal rights.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4460,Remedies.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4480,Criteria for imposing optional remedies.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4500,Severity and scope of deficiencies.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4520,Separate deficiencies—Separate remedies.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4540,Stop placement.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4560,Amount of civil fine.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4580,Civil fine accrual and due dates and interest.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4600,Civil penalty fund.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4620,Temporary management.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4640,Receivership.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4660,Temporary managers and receivers—Application.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4680,Temporary managers and receivers—Considerations before appointment.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4700,Duties and powers of temporary manager and receiver.
SUBCHAPTER IV,NURSING HOME LICENSURE PROGRAM ADMINISTRATION,"Licensed Bed Capacity, Relocation of Residents and License Relinquishment",388-97-4720,Termination of temporary management and receivership.
